Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
PENDANT;3G2591V02151;00085;1483;836;1652;1
PENDANT;3G2591V02151;00089;1483;836;1652;2
CONTROL PANEL;3G2591V02251;00025;0;836;1200;0
CARGO HOOK LOAD INDICATOR (NVG);3G2592L00151;S09617261;1483;836;1652;0
CARGO HOOK CONTROL PANEL (NVG);3G2592V00152;S07296815;1483;836;1652;0
CARGO HOOK SUPPORT FRAME;3G2592V00451;141;1149;679;1652;0
CARGO HOOK ASSY;3G2592V00651;B3701;419;384;1652;0
FIRE DETECTION/EXTING CONT. PANEL (NVG);3G2600V00253;S10685398;1483;836;1652;0
FIRE EXTINGUISHING BOTTLE;3G2620V00131;63742B1;1483;836;1652;0
FIRE EXTINGUISHING BOTTLE;3G2620V00131;63217B1;1483;836;1652;0
FUEL CONTROL PANEL (NVG);3G2800V00252;S10689903;0;766;1457;0
Foams Installation (fuel tanks);3G2810A00413;--;1483;836;1652;0
Foams Installation (fuel tanks);3G2810A00413;--;1483;836;1652;0
LEFT MAIN TANK;3G2810V00132;381;1483;836;1652;0
RIGHT MAIN TANK;3G2810V00232;418;1483;836;1652;0
BOOSTER PUMP L.H.;3G2810V00332;4BF102;539;351;1652;1
BOOSTER PUMP R.H.;3G2810V00332;3BF44;1483;836;1652;2
FLAME ARRESTOR L.H.;3G2810V00851;0823;1483;836;1652;1
FLAME ARRESTOR R.H.;3G2810V00851;0822;1483;836;1652;2
AUX FUEL TANK;3G2810V00931;245;1483;836;1652;0
FUEL MANIFOLD;3G2820V00731;452;1483;836;1652;0
FUEL CONTROL UNIT;3G2840V00852;541;1483;836;1652;0
LEFT MAIN PROBE;3G2840V00951;1180;1483;836;1652;0
RIGHT MAIN PROBE;3G2840V00951;1181;1483;836;1652;0
LEFT SECONDARY PROBE;3G2840V01051;1202;1483;836;1652;0
RIGHT SECONDARY PROBE;3G2840V01051;1203;1483;836;1652;0
POWER CONTROL MODULE;3G2900V00651;821;1483;836;1652;0
POWER CONTROL MODULE;3G2900V00651;838;1483;836;1652;0
HYDRAULIC CONTROL PANEL (NVG);3G2900V00752;S10686973;1483;836;1652;0
PUMP - HYDRAULIC POWER SUPPLY;3G2910V00133;CR456;1483;836;1652;0
PUMP - HYDRAULIC POWER SUPPLY;3G2910V00133;CR459;1483;836;1652;0
PUMP - HYDRAULIC POWER SUPPLY;3G2910V00133;CR460;1483;836;1652;0
TAIL ROTOR SHUT-OFF VALVE;3G2910V00231;2388;1483;836;1652;0
ELECTRIC MOTOR DRIVEN HYD. PUMP;3G2920V00131;CT040;1483;836;1652;0
WINDSHIELD WIPING CONTROL PANEL (NVG);3G3040V00253;S10686821;1483;836;1652;0
MOTOR CONVERTER PILOT;3G3040V00352;00416;1483;836;1652;0
MOTOR CONVERTER COPILOT;3G3040V00452;00455;1483;836;1652;0
EAPS CONTROL PANEL;3G3110V00252;S08497408;1040;648;1652;0
MISCELLANEOUS CONTROL PANEL (NVG);3G3110V00452;S09607258;1483;836;1652;0
MAGNETIC COMPASS;3G3120L00151;S10687704;1483;836;1652;0
COPILOT DIGITAL CLOCK (NVG);3G3120L00251;S10746288;1483;836;1652;0
PILOT DIGITAL CLOCK (NVG);3G3120L00251;S10746289;1483;836;1652;0
PILOT MASTER ILLUMINATED (C.W.) (NVG);3G3150V00352;S10721533;1483;836;1652;0
COPILOT MASTER ILLUMINATED (C.W.) (NVG);3G3150V00452;S10691152;1483;836;1652;0
BOLT,MLG RETRACTING ACTUATOR;3G3210L00151;PPA0011;1483;836;1652;0
BOLT,MLG RETRACTING ACTUATOR;3G3210L00151;229PP;1483;836;1652;0
LEFT MAIN LANDING GEAR ASSY.;3G3210V00137;00504;1483;836;1652;0
RIGHT MAIN LANDING GEAR ASSY.;3G3210V00237;00519;1483;836;1652;0
NOSE LANDING GEAR ASSY.;3G3220V00135;00540;1483;836;1652;0
NOSE RETRACTING ACTUATOR ASSY.;3G3230V00132;00463;1483;836;1652;0
MAIN RETRAC. ACTUATOR ASSY.;3G3230V00332;00804;1483;836;1652;0
MAIN RETRAC. ACTUATOR ASSY.;3G3230V00332;00802;1483;836;1652;0
LANDING GEAR CONTROL VALVE ASSY.;3G3230V00433;00538;1483;836;1652;0
LANDING GEAR CONTROL PANEL ASSY (NVG);3G3230V00633;S10693045;1483;836;1652;0
NOSE WHEEL ASSY;3G3240V00131;1274;0;836;1652;0
NOSE WHEEL ASSY;3G3240V00131;1275;0;836;1652;0
MAIN WHEEL ASSY;3G3240V00231;1316;0;836;1652;0
MAIN WHEEL ASSY;3G3240V00231;1374;0;836;1652;0
W/B MASTER CYLINDER ASSY.;3G3240V00433;0225T;1483;836;1652;0
W/B MASTER CYLINDER ASSY.;3G3240V00433;0235T;1483;836;1652;0
W/B MASTER CYLINDER ASSY.;3G3240V00433;0238T;1483;836;1652;0
W/B MASTER CYLINDER ASSY.;3G3240V00433;0245T;1483;836;1652;0
RESERVOIR;3G3240V00531;00499;1483;836;1652;0
W/B PARKING VALVE ASSY.;3G3240V00631;00506;1483;836;1652;0
TEST CONTROL PANEL;3G3300V00252;S10691515;1483;836;1652;0
CABIN LIGHT CONTROL PANEL;3G3300V00351;S09641472;1483;836;1652;0
DIMMING SYSTEM CONTROL PANEL;3G3320V00354;S10691522;1483;836;1652;0
HEELS BATTERY ASSY;3G3350A01811;==;1483;836;1652;0
Battery pack (HEELS Battery Assy);3G3350V00151;11468;597;396;1652;0
Battery pack (HEELS Battery Assy);3G3350V00151;11471;597;396;1652;0
Battery pack (HEELS Battery Assy);3G3350V00151;11472;597;396;1652;0
Battery pack (HEELS Battery Assy);3G3350V00151;11465;597;396;1652;0
LEFT PITOT STATIC TUBE;3G3410V00151;264110;1483;836;1652;0
RIGHT PITOT STATIC TUBE;3G3410V00251;263328;1483;836;1652;0
COMPASS CONTROL PANEL COPILOT (NVG);3G3420V00252;S10685727;1483;836;1652;0
COMPASS CONTROL PANEL COPILOT (NVG);3G3420V00252;S10685730;1483;836;1652;0
DISPLAY DIMMING CONTROL PNL (NVG);3G4630V00152;S08408410;1483;836;1652;0
DISPLAY REV.CONTROL PANEL (NVG);3G4630V00352;S10689367;1483;836;1652;0
LEFT PASSENGER DOOR ASSY;3G5212A00333;0276;1483;836;1652;0
RIGHT PASSENGER DOOR ASSY;3G5212A00433;0276;1483;836;1652;0
TAIL ASSY;3G5350A00135;A7/0748;1483;838;1652;0
ASSY FIN;3G5351A00135;62051171;1483;836;1652;0
TGB fitting (Tail Assy);3G5351A01152;DEM00128;1483;836;1652;0
Tailplane Attachment Fitting on Fin Upper;3G5351A01433;DEM00158;1483;836;1652;0
ATTACH. FITTING ON FIN LOWER;3G5351A07532;DEM00079;1483;836;1652;0
Tailplane Attachment Fitting on Fin Upper;3G5351A01533;DEM00100;1483;836;1652;0
ROD ASSY;3G5510A02733;MCR00676;1483;836;1652;0
ROD ASSY;3G5510A02733;MCR00678;1483;836;1652;0
Rod End (Fin End);3G5510A03931;1957;0;849;1652;0
Rod End (Fin End);3G5510A03931;1878;0;849;1652;0
Rod End (Tailplane End);3G5510A04053;967;0;848;1652;0
Rod End (Tailplane End);3G5510A04053;977;0;848;1652;0
Rod Sleeve;3G5510A04152;871;0;836;1652;0
Rod Sleeve;3G5510A04152;903;0;836;1652;0
TAIL PLANE ASSY;3G5510A05431;SAL0045;1483;836;1652;0
TAIL PLANE FITTING LH;3G5510A04352;ML066F1;1483;836;1652;1
TAIL PLANE FITTING RH;3G5510A04452;MR066F1;1483;836;1652;2
GLASS WINDSHIELD LH;3G5610V00151;08297H6604;1483;836;1652;1
GLASS WINDSHIELD RH;3G5610V00251;10341H1095;973;597;1652;2
MAIN ROTOR BLADE;3G6210A00131;V276;1483;838;1652;0
MAIN ROTOR BLADE;3G6210A00131;V167;1483;838;1652;0
MAIN ROTOR BLADE;3G6210A00131;V268;1483;838;1652;0
MAIN ROTOR BLADE;3G6210A00131;R2013;567;374;1652;0
MAIN ROTOR BLADE;3G6210A00131;V597;1163;639;1652;0
MAIN ROTOR ASSY.;3G6220A00132;V31;1483;836;1652;0
Main Rotor Hub Assy;3G6220A00332;R409;1483;841;1652;0
Main Rotor Scissors Attachment Flange Assy;3G6220A00632;R439;1483;836;1652;0
BOLT;3G6220A01251;S3443;1483;836;1652;0
BOLT;3G6220A01251;S3444;1483;836;1652;0
BOLT;3G6220A01251;S3445;1483;836;1652;0
BOLT;3G6220A01251;S3446;1483;836;1652;0
BOLT;3G6220A01251;S3447;1483;836;1652;0
RING;3G6220A02333;R247;1483;836;1652;0
BEANIE ASSY;3G6220A09031;AV-005-10;1483;836;1652;0
Main Rotor Elastomeric Bearing;3G6220V00154;1130;1483;836;1652;0
Main Rotor Elastomeric Bearing;3G6220V00154;1132;1483;836;1652;0
Main Rotor Elastomeric Bearing;3G6220V00154;1133;1483;836;1652;0
Main Rotor Elastomeric Bearing;3G6220V00154;1134;1483;836;1652;0
Main Rotor Elastomeric Bearing;3G6220V00154;1135;1483;836;1652;0
MAIN ROTOR LAG DAMPER;3G6220V01351;2628;1483;836;1652;0
MAIN ROTOR LAG DAMPER;3G6220V01351;6372;567;380;1652;0
MAIN ROTOR LAG DAMPER;3G6220V01351;2662;1431;690;1652;0
MAIN ROTOR LAG DAMPER;3G6220V01351;2629;1174;710;1652;0
MAIN ROTOR LAG DAMPER;3G6220V01351;MCR7698;106;85;1652;0
SWASHPLATE ASSY.;3G6230A00132;V47;1483;836;1652;0
ROTATING SWASHPLATE ASSY.;3G6230A00332;V11;1483;853;1652;0
ROTATING SCISSORS;3G6230A00732;V161;1483;836;1652;0
ROTATING SCISSORS;3G6230A00732;V162;1483;836;1652;0
Upper Scissor Lever Assy;3G6230A00832;R1369;1483;836;1652;0
Upper Scissor Lever Assy;3G6230A00832;R1370;1483;836;1652;0
BOTTOM ROTATING SCISSORS ASSY;3G6230A00932;R1475;1483;836;1652;0
BOTTOM ROTATING SCISSORS ASSY;3G6230A00932;R1476;1483;836;1652;0
PITCH LINK ASSY.;3G6230A01033;101;1483;836;1652;0
PITCH LINK ASSY.;3G6230A01033;149;1483;836;1652;0
PITCH LINK ASSY.;3G6230A01033;146;1483;836;1652;0
PITCH LINK ASSY.;3G6230A01033;MCR1390;596;396;1652;0
PITCH LINK ASSY.;3G6230A01033;148;1483;836;1652;0
NUMBER 1 CROSSHEAD;3G6310A00351;MO.217;1483;836;1652;0
NUMBER 2 CROSSHEAD;3G6310A00451;MO.145;1483;836;1652;0
GIMBAL INPUT ASSY. LH;3G6310A00532;MO.689;1483;836;1652;1
GIMBAL INPUT ASSY. RH;3G6310A00532;MO.690;1483;836;1652;2
INPUT SHAFT;3G6310V00152;0933;1483;836;1662;0
INPUT SHAFT;3G6310V00152;0921;1483;836;1662;0
MAIN GEARBOX ASSY.;3G6320A00134;V58;1483;836;1652;0
MGB Case Top Assy;3G6320A01035;R355;1483;836;1652;0
Main Rotor Shaft (MGB assy);3G6320A01854;R49;1483;875;1662;0
Main Case (MGB assy);3G6320A02738;R361;0;836;1662;0
COOLER MGB OIL COOLING;3G6320V03652;492;1483;836;1652;0
FAN;3G6320V03853;141600319;1483;836;1652;0
