Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
MCDU NON NVG COMPATIBLE;7025725-941;08113826;0;740;1404;0
VDR MODULE 1;7026201-801;10067921;1483;836;1652;1
VDR MODULE 2;7026201-801;09117598;1483;836;1652;2
MRC DIGITAL NAV MOD. 1;7026202-803;10065717;1483;836;1652;1
MRC DIGITAL NAV MOD. 2;7026202-803;10065711;1483;836;1652;2
VIDEO MODULE;7026531-1902;10072463;1483;836;1652;0
CIO MODULE;7026534-1902;09075429;1483;836;1652;0
CCD NVG COMPATIBLE;7026883-802;11091376;0;740;1416;0
CCD NVG COMPATIBLE;7026883-802;11091387;0;740;1416;0
CONTROL PANEL,AUTOPILOT NON NVG;7027110-904;1101779;0;740;1416;0
AIOP PM;7029194-1801;09111747;1483;836;1652;0
AIOP PM;7029194-1801;10062157;1483;836;1652;0
AIOP PM;7029194-1801;10062170;1483;836;1652;0
AIOP PM;7029194-1801;10062174;1483;836;1652;0
MAU RACK 1;7031629-1950;10041066;1483;836;1652;1
MAU RACK 2;7031629-1950;10041080;1483;836;1652;2
CMC PM;7034055-1901;10080235;1483;836;1652;0
DUAL NIC & PROCESSOR CCA;7034057-1904;10063189;1483;836;1652;0
DUAL NIC & PROCESSOR CCA;7034057-1904;10063194;1483;836;1652;0
FLIGHT DISPLAY;7037620-814;10089917;1483;836;1652;0
FLIGHT DISPLAY;7037620-814;1008A024;1483;836;1652;0
FLIGHT DISPLAY;7037620-814;1008A025;1483;836;1652;0
FLIGHT DISPLAY;7037620-814;1009A116;88;836;1652;0
DF CONTROLLER;715-40-10010;7218;1483;836;1652;0
5th DISPLAY;727-0912/30;S10686867;1483;836;1652;0
ADF MODULE MRC 2;7510114-855;0906E164;1483;836;1652;0
DME MODULE MRC 2;7510184-855;1004F876;1483;836;1652;0
ADF ANTENNA;7510300-901;10036554;1483;836;1652;0
AUDIO CTRL PANEL NVG;7511900-99201;1011A074;778;512;1652;0
AUDIO CTRL PANEL NVG;7511900-99201;1204C139;778;512;1652;0
AUDIO CTRL PANEL NVG;7511900-99201;1012A191;778;512;1652;0
MODO S XPNDR 2;7517400-887;0806E384;1483;836;1652;0
MRC EMPTY CABINET MRC 1;7517959-904;10047310;1483;836;1652;1
MRC EMPTY CABINET MRC 2;7517959-904;10057373;1483;836;1652;2
NIM MODULE 1;7517964-914;10057154;1483;836;1652;1
NIM MODULE 2;7517964-914;09096648;1483;836;1652;2
CONFIGURATION MODULE;7519272-901;08089922;1483;836;1652;0
CONFIGURATION MODULE;7519272-901;08089942;1483;836;1652;0
ACTUATOR,SMART LINEAR;8486-3;3638;1483;836;1652;0
ACTUATOR,SMART LINEAR;8486-3;3639;1483;836;1652;0
SMOKE DETECTOR;8930-112B90H101;14948;103;836;1652;0
EMERGENCY POWER SUPPLY;8ES-455-070-00;23971;1483;836;1652;0
EMERGENCY POWER SUPPLY;8ES-455-070-00;24260;1483;836;1652;0
ANTENNA DF;935-11;7071;1483;836;1652;0
System Interface Unit Battery (Deployable ELT);A01011;101375;1483;836;1652;0
PORTABLE FIRE EXTINGUISHER;A072A02;06-2010/06882;1483;836;1652;0
PORTABLE FIRE EXTINGUISHER;A072A02;03-2010/06615;1483;836;1652;0
LOUDSPEAKER CONTROL PANEL;AA21-407;1837;1483;836;1652;0
SATCOM SKY TRAC VIDEO PANEL;CDP-250C;12013;1483;836;1652;0
MULTI-POURPOSE FLIGHT RECORDER;D51615-142;389525-005;1483;836;1652;0
COCKPIT CONTROL UNIT;D51616-102;390206-001;1483;836;1652;0
COUPLER ANTENNA G.S.;DGSC20-02;5769;1483;836;1652;0
Beacon Battery (MPFDR system);DK140;ST31234;0;836;1652;0
COUPLER  M/B;DMB20-20;3176;1483;836;1652;0
ANTENNA VOR;DMN48-1;1860;1020;636;1652;0
ANTENNA VOR;DMN48-1;1861;1020;636;1652;0
ANTENNA TRASPONDER;DMNI24;93465;1483;836;1652;0
ANTENNA TRASPONDER;DMNI24;93904;1483;836;1652;0
ANTENNA DME;DMNI24;94294;1483;836;1652;0
COUPLER ANTENNA VOR;DRC20-04;7212;1483;836;1652;0
SATCOM SKY TRAC VOCAL INTERFACE;DVI-250A;13628;0;720;1335;0
MONITOR,HEAT,PITOT COPILOT;E37040D;5654;1483;836;1652;0
MONITOR,HEAT,PITOT PILOT;E37040D;5669;1483;836;1652;0
FLIR ULTRAFORCE HAND GRIP;HCUED00002;100116;198;836;1652;0
AIR DATA MODULE 1;HG1153CA03;10054265;1483;836;1652;1
AIR DATA MODULE 2;HG1153CA03;10054264;1483;836;1652;2
SPECTROLAB HAND CONTROL UNIT;IN10-10-80;73048;1483;836;1652;0
SATCOM SKY TRAC ISAT 100;ISAT-100;2836;1483;836;1652;0
SATCOM SKY TRAC ANTENNA;ISAT-ANT;133382;1483;836;1652;0
4-point patient restraint harness;KO-7055-003;;0;836;1652;0
Leg Belts;KO7071-001;;0;836;1652;0
OPERATIONAL SOFTWARE;MM7030191-008;10128886;1483;836;1652;0
RADIO NAT NPX TRANSMITTER;NPX138N-900;66343;1483;836;1652;0
LOUDSPEAKER AMPLIFIER;PA700-001;2076;480;836;1652;0
PRESSURE CARTRIDGE ASSY;3G2592V00731;8332;1363;282;1652;0
Pressure Vessel;P-F20006;FI3427;0;836;1652;0
Pressure Vessel;P-F20006;FI3829;0;836;1652;0
ENGINE ASSY;PT6C-67C;PCE-KB0782;1483;836;1652;1
ENGINE ASSY;PT6C-67C;PCE-KB0774;1483;836;1652;2
ANTENNA GLIDE SLOPE;RGS10-48;15239;1483;836;1652;0
UTILITY CAMERA;RPC-651ER/3,0;1155;1483;836;1652;0
UTILITY CAMERA;RPC-651ER/3,0;1184;1483;836;1652;0
POWER SUPPLY 28VDC+EMI FILTER;RPS-77E;0940;1483;836;1652;0
POWER SUPPLY 28VDC+EMI FILTER;RPS-77E;0941;1483;836;1652;0
GPS ANTENNA;S67-1575-132;435-4061;1483;836;1652;0
GPS ANTENNA;S67-1575-132;435-4062;1483;836;1652;0
ANTENNA R.A. 1;S67-2002-4;552-17445;1483;836;1652;1
ANTENNA R.A. 1;S67-2002-4;552-17509;1483;836;1652;1
ANTENNA R.A. 2;S67-2002-4;552-17514;1483;836;1652;2
ANTENNA R.A. 2;S67-2002-4;552-17515;1483;836;1652;2
IFF TRANSPONDER;TAC-0045/01;118;283;836;1652;0
IFF CONTROL PANEL;TAD-0049/01;0109;1483;836;1652;0
ETHERNET ADAPTER;TB14H-24VDC;5821003;1483;836;1652;0
EXTERNAL LOUDSPEAKERS;TS94-06DS;3010;1483;836;1652;0
ANTENNA VHF 2;VF10-210;9065;1483;836;1652;0
ANTENNA VHF 1;VFS10-90-2;7981;1483;836;1652;0
