3G3230V00633;LANDING GEAR CONTROL PANEL ASSY (NVG);32;
3G3240V00131;NOSE WHEEL ASSY;32;
3G3240V00231;MAIN WHEEL ASSY;32;
3G3240V00433;W/B MASTER CYLINDER ASSY.;32;
3G3240V00531;RESERVOIR;32;
3G3240V00631;W/B PARKING VALVE ASSY.;32;
3G3300V00252;TEST CONTROL PANEL;45;
3G3300V00351;CABIN LIGHT CONTROL PANEL;33;
3G3320V00354;DIMMING SYSTEM CONTROL PANEL;33;
3G3350A01811;HEELS BATTERY ASSY;33;
3G3350V00151;Battery pack (HEELS Battery Assy);33;
3G3410V00151;LEFT PITOT STATIC TUBE;34;
3G3410V00251;RIGHT PITOT STATIC TUBE;34;
3G3420V00252;COMPASS CONTROL PANEL COPILOT (NVG);34;
3G4630V00152;DISPLAY DIMMING CONTROL PNL (NVG);33;
3G4630V00352;DISPLAY REV.CONTROL PANEL (NVG);45;
3G5212A00333;LEFT PASSENGER DOOR ASSY;52;
3G5212A00433;RIGHT PASSENGER DOOR ASSY;52;
3G5350A00135;TAIL ASSY;53;
3G5351A00135;ASSY FIN;53;
3G5351A01152;TGB fitting (Tail Assy);53;
3G5351A01433;Tailplane Attachment Fitting on Fin Upper;53;
3G5351A07532;ATTACH. FITTING ON FIN LOWER;53;
3G5351A01533;Tailplane Attachment Fitting on Fin Upper;53;
3G5510A02733;ROD ASSY;55;
3G5510A03931;Rod End (Fin End);55;
3G5510A04053;Rod End (Tailplane End);55;
3G5510A04152;Rod Sleeve;55;
3G5510A05431;TAIL PLANE ASSY;55;
3G5510A04352;TAIL PLANE FITTING LH;55;
3G5510A04452;TAIL PLANE FITTING RH;55;
3G5610V00151;GLASS WINDSHIELD LH;56;
3G5610V00251;GLASS WINDSHIELD RH;56;
3G6210A00131;MAIN ROTOR BLADE;62;
3G6220A00132;MAIN ROTOR ASSY.;62;
3G6220A00332;Main Rotor Hub Assy;62;
3G6220A00632;Main Rotor Scissors Attachment Flange Assy;62;
3G6220A01251;BOLT;62;
3G6220A02333;RING;62;
3G6220A09031;BEANIE ASSY;62;
3G6220V00154;Main Rotor Elastomeric Bearing;62;
3G6220V01351;MAIN ROTOR LAG DAMPER;62;
3G6230A00132;SWASHPLATE ASSY.;62;
3G6230A00332;ROTATING SWASHPLATE ASSY.;62;
3G6230A00732;ROTATING SCISSORS;62;
3G6230A00832;Upper Scissor Lever Assy;62;
3G6230A00932;BOTTOM ROTATING SCISSORS ASSY;62;
3G6230A01033;PITCH LINK ASSY.;62;
3G6310A00351;NUMBER 1 CROSSHEAD;63;
3G6310A00451;NUMBER 2 CROSSHEAD;63;
3G6310A00532;GIMBAL INPUT ASSY;63;
3G6310V00152;INPUT SHAFT;63;
3G6320A00134;MAIN GEARBOX ASSY.;63;
3G6320A01035;MGB Case Top Assy;63;
3G6320A01854;Main Rotor Shaft (MGB assy);63;
3G6320A02738;Main Case (MGB assy);63;
3G6320V03652;COOLER MGB OIL COOLING;63;
3G6320V03853;FAN;63;
3G6320V04252;PUMP LUBRICATION;63;
3G6330A00234;MGB Upper Fitting;63;
3G6330A00532;MGB Antitorque Beam;63;
3G6330L00132;MGB FWD BRACKET ASSY;63;
3G6330L00232;MGB REAR BRACKET ASSY;63;
3G6330L00351;BOLT;63;
3G6330V00231;AFT ROD ASSY;63;
3G6351V00551;DISC;63;
3G6351V00651;ROTOR BRAKE CALIPER ASSY;63;
3G6352V01751;ROTOR BRAKE CONTROL LEVER;63;
3G6352V01851;ROTOR BRAKE CONTROL MODULE ASSY;63;
3G6352V01931;ROTOR BRAKE RESERVOIR ASSY.;63;
3G6352V02151;ROTOR BRAKE PRESSURE IND.;63;
3G6352V02451;ROTOR BRAKE ACTUATOR ASSY;63;
3G6353V00252;ROTOR BRAKE RELAIS BOX;63;
3G6410A00133;TAIL ROTOR BLADE ASSY;64;
3G6420A00133;TAIL ROTOR ASSY.;64;
3G6420A00332;TAIL ROTOR HUB ASSY.;64;
3G6420V00153;ELASTOMERIC BEARING;64;
3G6420V00455;LAG DAMPER;64;
3G6430A00632;PITCH LINK ASSY.;64;
3G6711V00552;COPILOT COLLECTIVE GRIP ASSY;67;
3G6711V00652;PILOT COLLECTIVE GRIP ASSY;67;
3G6712V00257;PILOT CYCLIC GRIP ASSY;67;
3G6730V00531;SERVOACTUATOR ASSY;67;
3G6730V00731;TAIL ROTOR SERVOACTUATOR ASSY;67;
3G7120A00351;ENGINE UPPER MOUNT;71;
3G7120V00131;ENGINE MOUNTING ROD ASSY;71;
3G7160V01451;SHUT OFF VALVE (2 off);71;
3G7160V03751;E.A.P.S. PANEL LH;71;
3G7160V03851;E.A.P.S. PANEL RH;71;
3G7610V00331;ENGINE RELAY BOX;76;
3G7610V00532;POWER CONTROL CABLE;76;
3G7610V00632;ENGINE CONTROL GEARBOX;76;
3G7610V00852;ENGINE CONTROL PANEL (NVG);76;
3G9560V00131;FLOAT ASSY,FWD,LH;95;
3G9560V00231;FLOAT ASSY,FWD,RH;95;
3G9560V00332;AFT FLOAT LEFT ASSY;95;
3G9560V00432;AFT FLOAT RIGHT ASSY;95;
3G9560V00556;EMERGENCY FLOATS CONTR.PANEL;95;
3K6320A00136;INPUT MODULE SHAFT;63;
3K6320A01132;Gimbal assy (input module shaft);63;
3P5211A00132;LEFT CREW DOOR ASSY.;52;
3P5211A00232;RIGHT CREW DOOR ASSY.;52;
3P5300A00133;FUSELAGE STRUCTURE ASSY;53;
3P5335A10454;FRAME STA 3900;53;
3P5337A10454;FRAME STA 3900;53;
3P5338A13354;LEFT FRAME STA 5700;53;
3P5338A13454;RIGHT FRAME STA 5700;53;
3P5339A00333;Main Landing Gear LH Segment;53;
3P5339A00433;Main Landing Gear RH Segment;53;
3T6510A00144;NUMBER 1 DRIVE SHAFT;65;
3T6510A00241;SHAFT ASSY. No 2;65;
3T6510A00339;SHAFT ASSY. No 3;65;
3T6510A00443;BEARING SUPPORT ASSEMBLY;65;
3T6510V00152;COUPLING FLEXIBLE;65;
3T6521A00149;INTERMEDIATE GEARBOX ASSY.;65;
3T6521A05135;IGB HOUSING ASSY CENTRE;65;
3T6521A05657;Flange Coupling;65;
3T6521A07353;TGB Input Flange Coupling;65;
3T6522A00243;TAIL GEARBOX ASSY.;65;
3T6522A05146;Center Housing (TGB assy);65;
3T6522A05339;TGB OUTPUT HOUSING;65;
40004-01-01;STAND-BY INDICATOR N.1;34;
4000525-1812;RADAR ANTENNA;34;
4001973-0151;RADAR RECEIVER TRANSMITTER;34;
42325-298;EXTERNAL HOIST CABLE;95;
42315-281;CARTRIGE;95;
4G1860F00113;KIT MVA ASSY;95;
4G6310A00931;Torque Tube;;
503-16;CRASH POSITION INDICATOR B;;
503-21;BEACON RELEASE UNIT;;
503-22-NV;COCKPIT CTRL PANEL NVG;;
503-23-2;WATER ACTIVATED SWITCH;;
